time,precipitation,radiation,soil_moisture_modeled,runoff_modeled,et_modeled,soil_moisture_observed,runoff_observed,et_observed
2008-01-01,0.008254657,-0.4732614159292035,135.0,0.006686272170000001,-0.3596606549960575,378.37579999999997,1.4244202799999999,0.19466280937194824
2008-01-02,0.0025012603,-0.9571911061946904,135.36119326150825,0.0020368766063143177,-0.7293891927935285,374.4557,1.37870736,0.1941755941483827
2008-01-03,0.01323297,-0.2767351592920354,136.09102487339985,0.010892655767293037,-0.21103948641343473,370.631,1.352798232,0.1936883789248171
2008-01-04,0.0008872959,-0.3675186017699115,136.30437052189362,0.000732665125046314,-0.2805598667959999,368.56878,1.337397528,0.19320116370125154
2008-01-05,12.935702,-0.03737312831858407,136.58508200169615,10.72541287910605,-0.02873234660922394,385.17675,1.7988864,0.192713948477686
2008-01-06,15.033921,0.2705035221238938,138.52019241474912,12.820823397584844,0.2092263678476855,407.69142000000005,3.6686940000000003,0.1922267332541204
2008-01-07,14.686386,-0.1647627079646018,140.2110642417376,12.832078031546109,-0.12819822037136305,415.8419,4.362888959999999,0.19173951803055483
2008-01-08,0.005592769,-0.8044229203539823,141.88683776650035,0.005004129995979097,-0.627277372667679,405.60859999999997,1.28767188,0.19125230280698924
2008-01-09,2.8045404,0.06426181415929204,142.51465949356347,2.5316185042511736,0.05014813385771897,405.4416,1.4039616000000001,0.1907650875834237
2008-01-10,0.5808271,0.07095626991150443,142.72979013014609,,,401.16453,1.339360632,0.19563249913992076
